task,rank,indicator,model,nFolds,avgPrecision,stdPrecision,minPrecision,precisionCI95LowerMean,avgRecall,avgF1,totalPredN,expectedNetPnlPerTrade,passConservative,score
RS,1,WMA,RF,1,42.86,0.0,42.86,14.29,21.43,28.57,7,0.029,False,46.286
RS,2,MASS_INDEX,RF,1,15.91,0.0,15.91,9.09,100.0,27.45,88,-2.127,False,49.93
RS,3,OBV,RF,1,15.38,0.0,15.38,7.69,28.57,20.0,26,-2.17,False,26.009
RS,4,AD_LINE,RF,1,12.26,0.0,12.26,7.55,92.86,21.67,106,-2.419,False,44.873
RS,5,AROON,RF,1,13.98,0.0,13.98,7.47,92.86,24.3,93,-2.282,False,45.463
RS,6,TSI,RF,1,14.93,0.0,14.93,7.46,71.43,24.69,67,-2.206,False,39.118
RS,7,CMF,RF,1,12.62,0.0,12.62,6.29,92.86,22.22,103,-2.39,False,43.651
RS,8,MFI,RF,1,12.35,0.0,12.35,6.17,71.43,21.05,81,-2.412,False,36.952
RS,9,KDJ,RF,1,11.61,0.0,11.61,5.78,92.86,20.63,112,-2.471,False,42.216
RS,10,PVI,RF,1,14.81,0.0,14.81,5.56,57.14,23.53,54,-2.215,False,32.388
RS,11,ULTIMATE_OSC,LOG,1,10.84,0.0,10.84,5.39,64.29,18.56,83,-2.533,False,33.535
RS,12,NVI,RF,1,12.31,0.0,12.31,5.35,57.14,20.25,65,-2.415,False,31.33
D1A,1,WMA,ET,1,100.0,0.0,100.0,100.0,10.71,19.35,3,4.6,False,209.889
D1A,2,SMA,RF,1,46.15,0.0,46.15,23.08,21.43,29.27,13,0.292,False,61.324
D1A,3,ROC,LOG,1,34.09,0.0,34.09,22.73,53.57,41.67,44,-0.673,False,64.546
D1A,4,VOSC,RF,1,27.71,0.0,27.71,20.48,82.14,41.44,83,-1.183,False,68.224
D1A,5,CHOPPINESS,RF,1,29.03,0.0,29.03,19.35,64.29,40.0,62,-1.078,False,61.57
D1A,6,AROON,ET,1,26.26,0.0,26.26,18.18,92.86,40.94,99,-1.299,False,68.383
D1A,7,ADX,LOG,1,26.47,0.0,26.47,18.11,96.43,41.54,102,-1.282,False,69.338
D1A,8,MOMENTUM,RF,1,42.86,0.0,42.86,17.68,21.43,28.57,14,0.029,False,51.054
D1A,9,AO,RF,1,25.23,0.0,25.23,17.55,100.0,40.29,111,-1.382,False,68.51
D1A,10,TRIX,LOG,1,26.0,0.0,26.0,16.95,92.86,40.62,100,-1.32,False,66.813
D1A,11,VWMA,RF,1,25.69,0.0,25.69,16.95,100.0,40.88,109,-1.345,False,68.138
D1A,12,OBV,RF,1,24.55,0.0,24.55,16.8,96.43,39.13,110,-1.436,False,66.324
D1S,1,ICHIMOKU,LOG,1,17.86,0.0,17.86,5.27,71.43,28.57,28,-1.971,False,34.831
D1S,2,HIST_VOL,RF,1,15.38,0.0,15.38,5.13,85.71,26.09,39,-2.17,False,36.883
D1S,3,TSI,ET,1,14.29,0.0,14.29,4.76,42.86,21.43,21,-2.257,False,24.592
D1S,4,DONCHIAN,LOG,1,11.36,0.0,11.36,4.55,71.43,19.61,44,-2.491,False,30.525
