date,symbol,vnindex_pe,vnindex_pb,vnindex_ps,frequency,source,fetchedAt,month
2022-01-27,VNINDEX,15.25,2.39,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214867+00:00,2022-01
2022-02-27,VNINDEX,15.57,2.41,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214879+00:00,2022-02
2022-03-30,VNINDEX,15.78,2.42,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214886+00:00,2022-03
2022-04-28,VNINDEX,13.72,2.17,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214890+00:00,2022-04
2022-05-30,VNINDEX,12.91,2.03,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214895+00:00,2022-05
2022-06-29,VNINDEX,11.74,1.89,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214899+00:00,2022-06
2022-07-28,VNINDEX,11.9,1.87,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214903+00:00,2022-07
2022-08-30,VNINDEX,12.63,1.97,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214907+00:00,2022-08
2022-09-29,VNINDEX,11.17,1.72,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214911+00:00,2022-09
2022-10-30,VNINDEX,10.05,1.54,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214917+00:00,2022-10
2022-11-29,VNINDEX,10.3,1.57,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214921+00:00,2022-11
2022-12-29,VNINDEX,9.96,1.51,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214925+00:00,2022-12
2023-01-30,VNINDEX,11.46,1.65,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214929+00:00,2023-01
2023-02-27,VNINDEX,11.01,1.51,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214933+00:00,2023-02
2023-03-30,VNINDEX,11.52,1.57,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214937+00:00,2023-03
2023-04-27,VNINDEX,11.32,1.53,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214941+00:00,2023-04
2023-05-30,VNINDEX,12.44,1.54,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214944+00:00,2023-05
2023-06-29,VNINDEX,12.88,1.6,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214948+00:00,2023-06
2023-07-30,VNINDEX,13.65,1.7,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214952+00:00,2023-07
2023-08-30,VNINDEX,13.94,1.73,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214956+00:00,2023-08
2023-09-28,VNINDEX,12.9,1.61,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214960+00:00,2023-09
2023-10-30,VNINDEX,11.7,1.43,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214964+00:00,2023-10
2023-11-29,VNINDEX,12.58,1.5,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214968+00:00,2023-11
2023-12-28,VNINDEX,13.09,1.57,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214972+00:00,2023-12
2024-01-30,VNINDEX,13.44,1.6,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214976+00:00,2024-01
2024-02-28,VNINDEX,13.88,1.68,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214981+00:00,2024-02
2024-03-28,VNINDEX,14.29,1.72,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214987+00:00,2024-03
2024-04-25,VNINDEX,13.4,1.58,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214991+00:00,2024-04
2024-05-30,VNINDEX,13.68,1.63,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.214995+00:00,2024-05
2024-06-27,VNINDEX,13.3,1.59,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215000+00:00,2024-06
2024-07-30,VNINDEX,13.25,1.61,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215004+00:00,2024-07
