date,symbol,vnindex_pe,vnindex_pb,vnindex_ps,frequency,source,fetchedAt
2022-01-27,VNINDEX,15.25,2.39,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178468+00:00
2022-02-27,VNINDEX,15.57,2.41,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178478+00:00
2022-03-30,VNINDEX,15.78,2.42,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178484+00:00
2022-04-28,VNINDEX,13.72,2.17,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178488+00:00
2022-05-30,VNINDEX,12.91,2.03,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178493+00:00
2022-06-29,VNINDEX,11.74,1.89,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178497+00:00
2022-07-28,VNINDEX,11.9,1.87,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178500+00:00
2022-08-30,VNINDEX,12.63,1.97,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178504+00:00
2022-09-29,VNINDEX,11.17,1.72,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178508+00:00
2022-10-30,VNINDEX,10.05,1.54,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178514+00:00
2022-11-29,VNINDEX,10.3,1.57,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178518+00:00
2022-12-29,VNINDEX,9.96,1.51,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178522+00:00
2023-01-30,VNINDEX,11.46,1.65,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178536+00:00
2023-02-27,VNINDEX,11.01,1.51,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178540+00:00
2023-03-30,VNINDEX,11.52,1.57,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178544+00:00
2023-04-27,VNINDEX,11.32,1.53,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178548+00:00
2023-05-30,VNINDEX,12.44,1.54,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178552+00:00
2023-06-29,VNINDEX,12.88,1.6,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178557+00:00
2023-07-30,VNINDEX,13.65,1.7,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178561+00:00
2023-08-30,VNINDEX,13.94,1.73,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178565+00:00
2023-09-28,VNINDEX,12.9,1.61,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178569+00:00
2023-10-30,VNINDEX,11.7,1.43,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178572+00:00
2023-11-29,VNINDEX,12.58,1.5,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178576+00:00
2023-12-28,VNINDEX,13.09,1.57,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178580+00:00
2024-01-30,VNINDEX,13.44,1.6,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178584+00:00
2024-02-28,VNINDEX,13.88,1.68,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178588+00:00
2024-03-28,VNINDEX,14.29,1.72,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178592+00:00
2024-04-25,VNINDEX,13.4,1.58,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178595+00:00
2024-05-30,VNINDEX,13.68,1.63,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178599+00:00
2024-06-27,VNINDEX,13.3,1.59,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178604+00:00
2024-07-30,VNINDEX,13.25,1.61,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178608+00:00
2024-08-29,VNINDEX,13.4,1.62,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178612+00:00
2024-09-29,VNINDEX,13.41,1.64,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178616+00:00
2024-10-30,VNINDEX,12.91,1.57,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178621+00:00
2024-11-28,VNINDEX,12.4,1.55,0.0,daily,vietstock_finance_valuation_public,2026-06-08T10:12:08.178625+00:00
