curated_temp_name,merged_from_ids,count,coord_issue
31 Trần Não,BDS-MASTER-0004; BDS-MASTER-0022; BDS-MASTER-0099; BDS-MASTER-0184,4,
Lô đất Phú Thọ Hòa Tân Phú,BDS-MASTER-0011; BDS-MASTER-0041; BDS-MASTER-0062,3,multiple_conflicting_coordinates
Felicia Đà Nẵng,BDS-MASTER-0020; BDS-MASTER-0085; BDS-MASTER-0310,3,multiple_conflicting_coordinates
Felicia,BDS-MASTER-0030; BDS-MASTER-0285; BDS-MASTER-0419,3,multiple_conflicting_coordinates
Hải Nhân,BDS-MASTER-0129; BDS-MASTER-0245; BDS-MASTER-0423,3,no_reliable_coordinate
Khu gia đình quân nhân quân chủng PK-KQ (8,BDS-MASTER-0005; BDS-MASTER-0217,2,multiple_conflicting_coordinates
Hội An Riverside Resort & Spa,BDS-MASTER-0009; BDS-MASTER-0213,2,no_reliable_coordinate
Văn phòng tại khu đất 72-74 Võ Thị Sáu,BDS-MASTER-0019; BDS-MASTER-0166,2,multiple_conflicting_coordinates
Holiday Beach,BDS-MASTER-0025; BDS-MASTER-0106,2,
Hoàng Cát Center có quy mô 7,BDS-MASTER-0026; BDS-MASTER-0342,2,multiple_conflicting_coordinates
cao tầng với tổng diện tích đất dự án là 10,BDS-MASTER-0032; BDS-MASTER-0194,2,multiple_conflicting_coordinates
chung cư Hòa Xuân,BDS-MASTER-0033; BDS-MASTER-0358,2,multiple_conflicting_coordinates
thấp tầng Phú An Hội giáp mặt tiền Tôn Đức Thắng (25B),BDS-MASTER-0036; BDS-MASTER-0325,2,multiple_conflicting_coordinates
Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,BDS-MASTER-0039; BDS-MASTER-0247,2,multiple_conflicting_coordinates
H2-02,BDS-MASTER-0061; BDS-MASTER-0071,2,no_reliable_coordinate
chung cư Việt An,BDS-MASTER-0074; BDS-MASTER-0254,2,no_reliable_coordinate
