group_key,count,ids,names,coords,dates
31 tran nao,4,BDS-MASTER-0004; BDS-MASTER-0022; BDS-MASTER-0099; BDS-MASTER-0184,31 Trần Não | Cao tầng 31 Trần Não,"10.79649,106.72886 | 10.94666,106.74518",2024-12-11 | 2025-02-11
lo at phu tho hoa tan phu,3,BDS-MASTER-0011; BDS-MASTER-0041; BDS-MASTER-0062,Lô đất Phú Thọ Hòa Tân Phú,"10.78552,106.63147 | 10.86086,106.69993",
felicia a nang,3,BDS-MASTER-0020; BDS-MASTER-0085; BDS-MASTER-0310,Felicia Đà Nẵng | khách sạn Felicia Đà Nẵng,"16.05339,108.24772 | 16.05339,108.24773",2024-10-15 | 2025-02-19
felicia da nang,3,BDS-MASTER-0030; BDS-MASTER-0285; BDS-MASTER-0419,Felecia | Felicia,"16.05301,108.24682",2025-06-28
hai nhan,3,BDS-MASTER-0129; BDS-MASTER-0245; BDS-MASTER-0423,HAI NHAN | Hải Nhân | Hải Nhân 4,"10.97003,106.71565",
khu gia inh quan nhan quan chung pk kq 8,2,BDS-MASTER-0005; BDS-MASTER-0217,Khu gia đình quân nhân quân chủng PK-KQ (8,"10.95886,106.82412",
hoi an riverside resort spa,2,BDS-MASTER-0009; BDS-MASTER-0213,Hội An Riverside Resort & Spa,"15.88843,108.35595",2024-11-15 | 2024-12-25
van phong tai khu at 72 74 vo thi sau,2,BDS-MASTER-0019; BDS-MASTER-0166,Văn phòng tại khu đất 72-74 Võ Thị Sáu,"10.78939,106.69207 | 13.78918,100.50152",2024-01-03
holiday beach,2,BDS-MASTER-0025; BDS-MASTER-0106,Holiday Beach,"16.04971,108.2487",2025-04-16
hoang cat center co quy mo 7,2,BDS-MASTER-0026; BDS-MASTER-0342,Hoàng Cát Center có quy mô 7,"11.26425,106.62994",2024-10-14
voi tong dien tich at la 10,2,BDS-MASTER-0032; BDS-MASTER-0194,cao tầng với tổng diện tích đất dự án là 10,"10.22764,103.95867",2024-09-25
hoa xuan,2,BDS-MASTER-0033; BDS-MASTER-0358,chung cư Hòa Xuân,"16.00866,108.21683",2024-09-27
thap tang phu an hoi giap mat tien ton uc thang 25b,2,BDS-MASTER-0036; BDS-MASTER-0325,thấp tầng Phú An Hội giáp mặt tiền Tôn Đức Thắng (25B),"10.72673,106.89162",2024-11-09
khu cong nghiep va khu phi thue quan xuan cau tai khu cang cua ngo quo,2,BDS-MASTER-0039; BDS-MASTER-0247,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,"20.82262,106.87252",2024-01-09
cat lai sky habitat h2 02,2,BDS-MASTER-0061; BDS-MASTER-0071,Cát Lái Sky Habitat H2-02 | H2-02,,2026-05-27
viet an,2,BDS-MASTER-0074; BDS-MASTER-0254,cao tầng Việt An | chung cư Việt An,"10.94666,106.74518 | 10.95747,106.70743",2024-12-06
