mention_id,chunk_id,source_file,source_chat,report_date,report_datetime_raw,sender,project_name_hint,map_urls,land_area_mentions,price_mentions,far_mentions,population_mentions,irr_mentions,npv_mentions,excerpt
TEAMS-MENTION-0001,1,batch_001.txt,Bee || Phân Tích Đầu Tư,2026-07-02,7/2/2026 1:59 PM,Dung N - DCEO,cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,,"3,1 ha","3,600 tỷ; 110 tr/m2","Hệ số SDĐ : 8,0","Dân số 3,000",,,"Dung N - DCEO 7/2/2026 1:59 PM Báo cáo Sếp Admin 01 và các anh: hiện nay Tập đoàn Gamudaland (Malaysia) đang nghiên cứu M&A một dự án cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,1 ha, Hệ số SDĐ : 8,0; Dân số 3,000 dân, Tổng số căn hộ: 1,240 căn. Dự án đã được GPMB 100%, đã đưa đất vào công ty, đã được duyệt danh sách 171. Tổng giá trị M&A dự kiến khoảng 3,600 tỷ, bên CĐT cũ sẽ nắm giữ 20% cổ phần, GamudaLand đang tìm đối tác để hợp tác phần 80% còn lại (dự kiến Gamudaland nắm khoảng 50%, đối tác nắm 30%); giá bán dự kiến 90-110 tr/m2 (chưa VAT). Dũng gửi thông tin để Sếp và các anh xem xét. Đường bé mà giá này thì Richland phải bán 1... by Admin 01"
TEAMS-MENTION-0002,2,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,,,,Admin 01 7/2 2:21 PM Translate Đường bé mà giá này thì Richland phải bán 130-140tr Anh có báo RD rà soát lại gía bán rồi à Sếp by Huy M - IM
TEAMS-MENTION-0003,3,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,Richland Quận 9 như sau,,"308,7 m2; 49.443 m2; 2.82 ha; 1.09 ha; 0.38 ha",,"hệ số toàn khu 4,99",dân thuộc ranh dự án 49.443; dân số được duyệt 6.972; dân nhưng khu này thuộc ranh TOD và đất ở chỉ có 0.38; dân số (phần 3.000,,,"Phòng Đầu Tư báo cáo Sếp Admin 01 về DA Richland Quận 9. Trên cơ sở báo cáo pháp lý từ phòng Pháp lý DA, P. Đầu tư xin tổng hợp những điểm chính cần lưu ý đối với dự án Richland Quận 9 như sau: 1 .Pháp lý đầu tư và đất : Dự án phải hoàn thành vào tháng 3/2011 => Dự án chậm tiến độ triển khai + Chậm đưa đất vào sử dụng. Cần làm rõ DA đã được gia hạn sử đụng đất chưa? 2. Nghĩa vụ tài chính + đền bù: Nghĩa vụ tài chính dự án: Chưa hoàn thành nghĩa vụ tài chính tương ứng với chỉ tiêu quy hoạch được phê duyệt (6.972 người, 1.743 căn hộ, hệ số toàn khu 4,99 lần, chức năng chung cư, trường mầm non, văn phòng thương mại dịch vụ). Diện tích đền bù: 11.308,7 m2 của các hộ dân thuộc ranh dự án 49.443 m2, đã có QĐ thu hồi năm 2008 giao cho Cty nhưng thiếu hồ sơ đính kèm => chưa thể khẳng định đã hoàn tất bồi thường hay chưa. 3. Các nghĩa vụ khác: + Đóng góp kinh phí xây trường Tiểu học bên ngoài dự án; + Tuyến điện đi qua dự án, đóng tiền phần diện tích đất dưới hành lang tuyến điện đi qua dự án. 4. Quy hoạch: + Đã được phê duyệt 1/500 (2006), thẩm định TKCS (2007) và QĐ phê duyệt dự án (2008) ~ miễn GPXD theo QH tại thời điểm phê duyệt. + Khả năng giữ nguyên dân số được duyệt 6.972 dân => P.QH (A Tài) đánh giá có khả năng bị giảm đi đáng kể vì: Dự án theo QH mới nhất chia làm 2 khu, trong đó 1 khu 2.82 ha được 3.972 dân, khu còn lại 1.09 ha được 3.000 dân nhưng khu này thuộc ranh TOD và đất ở chỉ có 0.38 ha nên rủi ro sẽ bị giảm dân số (phần 3.000 dân). + Khả năng điều chỉnh tòa văn phòng trong dự án => P.QH (A Tài) đánh giá là điều chỉnh được do phù hợp QH phân khu (ở). 5. Đánh giá chung: Theo ý kiến từ phòng Pháp lý thì: ""Hồ sơ pháp lý dự án về cơ bản phù hợp với quy định pháp luật tại thời điểm thực hiện. Tuy nhiên, hiện nay Dự án đã hết tiến độ nhưng chủ đầu tư chưa hoàn thành"
TEAMS-MENTION-0004,4,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,Trần Đức 1 (2,https://maps.app.goo.gl/t178LDzcrFtjxgEz9,2.8ha; 2.8 ha; 8.5ha; 1.46 ha; 6.572 m2; 90m2,52 tr/m2; 55 tr/m2; 49.4 tr/m2; 80 tr/m2; 58 tr/m2; 520 tỷ; 132 tỷ; 78 tỷ; 485 tỷ; 14.5 tr/m2; 7.5tr/m2; 347 tỷ; 278 tỷ; 40 tỷ; 440 tỷ; 56tr/m2; 360 tỷ,hệ số 9; Hệ số: 5.08; hệ số toàn dự án chỉ đạt 5.08,dân số 4.000; dân số 4000.; Dân số: 2.700; dân số chỉ 2.700,IRR: 9.24%,NPV: - 40 tỷ,"P.ĐT báo cáo sếp Admin 01 dự án Trần Đức 1 (2.8ha) I. Thông tin dự án - Diện tích: 2.8 ha - Vị trí: Ngã tư Mỹ Phước Tân Vạn - Thủ Khoa Huân, P.Thuận Giao, Bình Dương (cũ) https://maps.app.goo.gl/t178LDzcrFtjxgEz9 II. PA quy hoạch: - Khu đất dự án thuộc ô khu phố có diện tích 8.5ha, hệ số 9/13 (9 ở, 4 TMDV), dân số 4.000, chức năng ở hỗn hợp. - Do dự án có quy mô 2.8ha nên không thể lấy được hết dân số 4000. P.TKQH đã binh phương án sơ bộ như sau: - Hệ số: 5.08 - Dân số: 2.700 - Quy mô: 2 phân khu + Cao tầng (30 tầng) : 1.46 ha - 1.275 căn hộ ở, 18 căn shop TM và 154 căn officetel. + Thấp tầng (nhà liên kế 1 trệt 2 lầu): 6.572 m2 (đất thương phẩm) - 73 nhà liên kế III. PA triển khai đầu tư: a) Giả định kinh doanh: + Giá bán căn hộ: 52 tr/m2 (chưa V tim tường) + Giá bán Shop TM: 55 tr/m2 (chưa V tim tường) + Officetel: 49.4 tr/m2 (chưa V tim tường) + Nhà phố: 80 tr/m2 (chưa V tính trên diện tích đất – 90m2/lô), tương đương giá bán đất khoảng 58 tr/m2 b) Giả định chi phí: + Giá mua dự án/cp: 520 tỷ (giá chào) Do đối tác đã gởi BCTC trong đó ghi nhận Vốn điều lệ: 132 tỷ. Trong khi Bên mình phải mua 100% cổ phần với giá 520 tỷ => Tổng thiệt hại thuế TNDN ước tính 78 tỷ (được tính bằng (520-132)x20%) + LUR: 485 tỷ (tính theo PP thặng dư) + Suất xây dựng chung cư: 14.5 tr/m2 (all-in gồm V) + Suất xây dựng thấp tầng: 7.5tr/m2 (all-in gồm V) + Cp bán hàng: 18.2% doanh thu + Lãi suất: 12%/năm c) Hiệu quả đầu tư: + LNTT (điều chỉnh thiệt hại thuế): 347 tỷ + LNST (điều chỉnh thiệt hại thuế): 278 tỷ + NPV: - 40 tỷ + IRR: 9.24% + LNTT/TMĐT: 10% => DỰ ÁN KHÔNG HIỆU QUẢ KINH TẾ d) Nhận xét: - Dự án không đạt được hiệu quả kinh tế do hệ số toàn dự án chỉ đạt 5.08 và dân số chỉ 2.700 dân. Đây là mức hệ số thấp hơn nhiều so với mức trung bình tại thị trường Bình Dương - Dự án Trần Đức 1 n"
TEAMS-MENTION-0005,5,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,,"2,5ha","6.500 tỷ; 259,5 tr/m2",,,,,"Báo cáo Sếp Admin 01 Admin 01 về dự án Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6.500 tỷ đồng cho diện tích phù hợp QH 2,5ha ~ 259,5 tr/m2 đường Quốc Lộ 13, P.Hiệp Bình, Thủ Đức (cũ), như sau: 1/TỔNG QUAN VỊ TRÍ: link map Vị trí và Ranh dự án Sông Đà - Quốc Lộ 13 Mặt tiền Quốc lộ 13 tại TP.HCM cũ, gần Khu đô thị Vạn Phúc, có 1 mặt giáp Sông, kết nối thuận tiện với các khu vực trọng điểm như Sân bay Tân Sơn Nhất và Ngã tư Bình Triệu. 2/ THÔNG TIN QUY HOẠCH Thông số QH theo 1/2000 Và đối tác đang tính Thông số QH theo 1/2000"
TEAMS-MENTION-0006,6,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,(FS),,"045,10 m2; 28 m2; 50.000 m2; 250.451 m2; 189.250 m2; 61.185 m2; 154.358 m2; 103.813 m2; 50.545 m2; 9.016 m2; 2.705 m2","8.824 tỷ; 85 tr/m2; 1.149 tỷ; 127,5 tr/m2; 9.974 tỷ; 13.853 tỷ; 8.311 tỷ; 6.500 tỷ; 1.811 tỷ; 3.168 tỷ; 13,9 tr/m2; 16,7 tr/m2; 657 tỷ; 1.496 tỷ; 1.317 tỷ; 52,6 tr/m2; 3.128 tỷ","Hệ số sử dụng đất: 10; Hệ số sử dụng đất: 7,2; hệ số là 10; hệ số tương ứng giảm xuống còn 7.2; hệ số 7,2",Dân số: 3.411; dân số 3.411; dân => diện tích NFA căn hộ giảm đi khoảng 50.000,,,"Phòng Đầu tư tính lại (có tham khảo anh Tài) Diện tích đất: 25.045,10 m2 (phù hợp quy hoạch) Diện tích đất: 25.045,10 m2 (phù hợp quy hoạch) Hệ số sử dụng đất: 10 lần Hệ số sử dụng đất: 7,2 lần Số tầng: 35 tầng (2 hầm, 2 tầng Shop TM, 2 tầng để xe nổi, 31 tầng căn hộ ở) Số tầng: 20 tầng (1 hầm, 2 tầng Shop TM, 2 tầng để xe nổi, 16 tầng căn hộ ở) Dân số: 3.411 dân Dân số: 3.411 dân Theo Quy hoạch PK thì hệ số là 10 lần, dân số 3.411 người. Tuy nhiên, qua tham khảo ý kiến từ phòng QH thì khu vực TPHCM cũ tính 32/m2 người, và để an toàn, P.Đầu tư tạm tính 28 m2/người, trên cơ sở gốc dùng hết dân số 3.411 dân => diện tích NFA căn hộ giảm đi khoảng 50.000 m2 sàn và hệ số tương ứng giảm xuống còn 7.2 lần, dư 2.8 hệ số, tầng cao giảm còn 20 tầng. P.ĐT cũng đã tính đến việc bố trí hệ số dư này cho căn officetel nhưng theo quy định mới thì officetel cũng phải tính dân số, do đó phòng chỉ tính thuần đủ dân số cho căn hộ ở, không hết hệ số. Theo đó, diện tích sàn xây dựng GFA và quy mô tầng cao cũng như diện tích thương phẩm tính lại đều giảm tương ứng so với số của đối tác đã tính, như sau: Nội dung Đối tác P.Đầu tư Chênh lệch Tầng cao 2 hầm, 35 nổi 1 hầm, 20 nổi giảm 1 hầm, -15 tầng GFA gồm hầm 250.451 m2 189.250 m2 giảm 61.185 m2 NFA Căn hộ (tim tường) 154.358 m2 103.813 m2 giảm 50.545 m2 NFA Shop 11.721 9.016 m2 giảm 2.705 m2 3/ HIỆU QUẢ DỰ ÁN (FS): 3.1. Doanh thu dự kiến Căn hộ ở : 8.824 tỷ đồng ~ đơn giá bán chưa VAT, tim tường 85 tr/m2 (giá phòng R&D đề xuất). Shophouse: 1.149 tỷ đồng ~ đơn giá bán chưa VAT, tim tường 127,5 tr/m2. Tổng doanh thu: 9.974 tỷ đồng 3.2. Chi phí đầu tư Tổng chi phí: 13.853 tỷ đồng Trong đó các khoản mục chính: Chi phí đất (bao gồm nghĩa vụ tài chính): 8.311 tỷ đồng + Chi phí mua đất: 6.500 tỷ đồng ~ 259.5 triệu đồng/m2 + Chi phí tiền sử dụng đất:"
TEAMS-MENTION-0007,7,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,,,,6.500 tỷ; 1.900 tỷ,,,,,Báo cáo Sếp là mới xác nhận lại với Mr Tiến thì giá 6.500 tỷ đồng chưa bao gồm tiền sử dụng đất (bên đó đang tính khoảng 1.900 tỷ đồng tiền sd đất) nhé ạ.
TEAMS-MENTION-0008,8,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,NHƯ SAU,,2.316 ha,"28 tr/m2; 36 tr/m2; 35 tr/m2; 6,5 tr/m2; 3,3 tr/m2",,,,,"Phòng ĐT báo cáo Sếp Admin 01 về sơ bộ dự kiến hiệu quả đầu tư dự án 2.316 ha Phía Nam Nhơn Trạch, như sau: I/TỔNG QUAN MẶT BẰNG: II/CHỈ TIÊU QUY HOẠCH TẠM TÍNH (ANH TÀI): III/HIỆU QUẢ TẠM TÍNH (P&L SƠ BỘ) Dựa trên các giả định: Giá bán: cơ sở đề xuất giá bình quân cho từng loại sản phẩm của phòng R&D đề xuất: Căn hộ 28 tr/m2, đất nền Nhà liên kế 36 tr/m2, đất nền biệt thự 35 tr/m2; Đơn giá chi phí đất (gồm tiền sử dụng đất)(đơn giá đất đường gần nhất khu đất vị trí 1 theo bảng giá đất là 6,5 tr/m2), phòng tính bài toán ngược với LNTT/TMĐT đạt 20% thì đơn giá đất bao gồm tiền sử dụng đất khoảng 3,3 tr/m2 (tính bình quân cho nhiều vị trí phân khu bên trong khu đất); Suất vốn xây dựng cao tầng theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026. Để đơn giản hóa bài tính Lãi/Lỗ, phòng tạm tính bán đất nên không tính chi phí xây dựng nhà liên kế và biệt thự (thực tế theo quy định phải xây dựng). HIỆU QUẢ DỰ ÁN NHƯ SAU: Giả định tiền đất (bao gồm tiền sử dụng đất) có tăng lên theo các mức chạy độ nhạy và thay đổi giá bán thì hiệu quả tương ứng như sau: Trân trọng báo cáo,"
TEAMS-MENTION-0009,9,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,,,2.316 ha,,,,,,"Phòng xin đính kèm báo cáo đề xuất giá từ phòng R&D. 03072026 - R&D - 2.316 ha Phước An, Nhơn Trạch - Gửi ĐT Final 1.pdf Begin quote, Khoa L - INVT, 7/9/2026 5:00 P... by Admin 01"
TEAMS-MENTION-0010,10,batch_001.txt,Bee || Phân Tích Đầu Tư,,,,có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm),,,,hệ số cao (trên 11,,,,"Dạ sếp. Dự án có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm), đồng thời thị trường tương đối thuận lợi khi giá được build bởi SunGroup. Xúc lẹ by Admin 01"
