field,nonempty_records,issue,label
asking_price,76,data_field_not_mapped_to_detail_table,
building_density,38,data_field_not_mapped_to_detail_table,
entity_classification_note,2,data_field_not_mapped_to_detail_table,
entity_type,327,data_field_not_mapped_to_detail_table,
far,70,data_field_not_mapped_to_detail_table,
irr,64,data_field_not_mapped_to_detail_table,
land_area,177,data_field_not_mapped_to_detail_table,
land_area_raw_mentions,177,data_field_not_mapped_to_detail_table,
max_floors,68,data_field_not_mapped_to_detail_table,
mymaps_match_score,2,data_field_not_mapped_to_detail_table,
mymaps_point_name,2,data_field_not_mapped_to_detail_table,
npv,28,data_field_not_mapped_to_detail_table,
payback,4,data_field_not_mapped_to_detail_table,
population,83,data_field_not_mapped_to_detail_table,
price_mentions,177,data_field_not_mapped_to_detail_table,
profit,45,data_field_not_mapped_to_detail_table,
project_name_raw2,3,data_field_not_mapped_to_detail_table,
report_datetime_raw_backfilled,11,data_field_not_mapped_to_detail_table,
revenue,70,data_field_not_mapped_to_detail_table,
scenario_data,1,data_field_not_mapped_to_detail_table,
source_excerpt,327,data_field_not_mapped_to_detail_table,
total_investment,63,data_field_not_mapped_to_detail_table,
score_grade,,field_mapped_more_than_once,Grade
